eng_text,ksl_text
Where are the customer care services,CUSTOMER CARE SERVICE WHERE
Your issue will be solved by the customer care personnel,ISSUE YOUR CUSTOMER CARE PERSON SOLVE
I work at the customer care station ,CUSTOMER CARE STATION ME WORK
He has a deep cut on his forehead,FOREHEAD HIS CUT DEEP HAVE
This knife doesn’t cut very well,KNIFE THIS CUT WELL NOTHING
Cut the pineapple into two parts,HALF TWO PINEAPPLE CUT
Do not cut yourself please,PLEASE SELF CUT ZERO
Please buy some cutlery from the market,PLEASE MARKET THERE CUTLERY BUY
The family need more cutlery,CUTLERY MORE FAMILY NEED
The cyclist fell and broke his arm,PAST CYCLIST FALL SAME ARM BREAK
My husband is a skilled cyclist,HUSBAND MINE CYCLIST SKILL
The cyclist was hit by a car,PAST CYCLIST CAR HIT
I am a cyclist,ME CYCLIST
The cyclist won the competition,COMPETITION CYCLIST THAT WIN
America is experiencing a cyclone,NOW CYCLONE AMERICA EXPERIENCE
The cyclone destroyed many properties,PAST PROPERTY A LOT CYCLONE DESTROY
The cyclone swept away our house,PAST HOUSE OUR CYCLONE SWEEP
I stay in Dagoreti ,DAGORETTI ME STAY
Many slums are found in Dagoreti,DAGORETI THERE SLUM MANY FIND
Where is Dagoreti,DAGORETI WHERE
We need a house in Dagoreti,DAGORETI THERE HOUSE US NEED
My father milks the cow daily,DAILY COW FATHER MINE MILK
The baby cries at night daily,DAILY TIME NIGHT BABY CRY
That strange noise appears daily,DAILY NOISE THAT STRANGE APPEAR
You need to exercise daily ,EXERCISE DAILY MUST
Walking daily improves your health,HEALTH YOUR DAILY WALK IMPROVE
That dam has a lot of water,WATER A LOT DAM THAT HAVE
The dam overflows during rainy seasons,TIME RAIN A LOTDAM THAT OVERFLOW
That dam has dirty water,WATER DIRTY DAM THAT HAVE
The children fell into the dam,PAST DAM THERE CILDREN FALL
The dam is dry,DAM THAT DRY
Your dress is damp,DRESS YOUR DAMP
Damp clothes smell bad,CLOTH DAMP BAD SMELL HAVE
Please air the damp cloth,CLOTH DAMP AIR PLEASE
She is dancing up and down,UP DOWN GIRL THAT DANCE
Mary is a good dancer,MARY DANCE WELL
I can’t dance very well,ME DANCE WELL NOTHING
Teach me how to dance,DANCE TEACHME
We want to dance the samba,SAMBA US DANCE WANT
Who is the best dancer,DANCER BEST WHO
That dancer is cleaver ,DANCER THAT CLEAVER
The dancer fell down and died,DANCER THAT DOWN FALL SAME DIE
I don’t fear danger,DANGER ME FEAR NOTHING
That poster shows danger ,POSTER THAT DANGER SHOW
We are out of danger,NOW DANGER FINISH
That man is highly dangerous,MAN THAT DANGEROUS MORE
Electricity is dangerous,ELECTRICITY DANGEROUS
Playing with fire is dangerous ,FIRE PLAY DANGEROUS
It is dangerous to walk at night,TIME NIGHT WALK DANGEROUS
Mosquitoes are dangerous because they cause malaria,MOSQUITOE DANGEROUSMALARIA CAUSE CAN
This room is dark,ROOM THIS DARK
I hate dark places,PLACE PLACE DARK ME HATE
What is hiding in the dark,DARK THERE HIDE WHAT
She has dark eyes,EYE DARK GIRK THAT HAVE
Fire the dart into the cat ,CAT THAT DART FIRE
Throw that dart at a dartboard ,DARTBOARD THERE DART THATTHROW
She has lost a dart today ,TODAY DART GIRL THAT LOSE
We all dashed for shelter when it started to rain ,TIME RAIN STARTSHELTER US ALL DASH
I must dash because I am late,ME DASH MUST WHY LATE
The waves dashed against the harbor wall,HABOUR WALL THERE WAVE WAVE DASH
We are gathering data,NOW DATA US GATHER
The company is using personal data,DATA PERSONAL COMPANY USE
Data protection laws must be followed,LAW DATA PROTECT FOLLOW MUST
We need to collect more data ,DATA MORE COLLECT US NEED
That data is not accurate,DATA THAT ACCURATE NOTHING
Buy me some data bundle,DATA BUNDLE BUY
My data bundle is finished,DATA BUNDLE MINE FINISHED
We need more data bundle ,DATA BUNDLE MORE US NEED
How much is data bundle,DATA BUNDLE HOW MUCH
What is the date today,TODAY DATE WHICH
Today is not a good date,TODAY DATE GOOD NOTHING
That function needs a date ,FUNCTION THAT DATE NEED
Which date were you born,YOU BORN DATE WHICH
Cancel that date,DATE THAT CANCEL
Who is your daughter,DAUGHTER YOUR WHO
My daughter is sick,DAUGHTER MINE SICK
I have a beautiful daughter,DAUGHTER BEAUTIFUL ME HAVE
Call my daughter,DAUGHTER MINE CALL
My daughter has gone to school,SCHOOL DAUGHTER MINE GO FINISH
I have one daughterinlaw,DAUGHTERINLAW ONE ME HAVE
My daughterinlaw is coming,NOW DAUGHTERINLAW MINE COME
That is not my daughterinlaw,THATDAUGHTERINLAW MINE NOTHING
I love my daughterinlaw,DAUGHTERINLAW MINE LOVE
That man is called David,MAN THAT NAME DAVID
Who is David,DAVID WHO
David cooked the food,PAST FOOD DAVID COOK
David is a wise man,DAVID MAN WISE
We will come at dawn ,TIME DAWN US COME
It is dawn already,NOW DAWN
We wake up at dawn,TIME DAWN US WAKE
It is always cold at dawn,ALWAYS DAWN COLD
The school will open at dawn ,TIME DAWN SCHOOL OPEN
This is a beautiful day,DAY THIS BEAUTIFUL
The day today is Tuesday ,TODAY TUESDAY
I love this day ,DAY THIS ME LOVE
This is the day that the Lord has made,DAY THIS LORD MAKE FINISH
I want to be a deacon ,FUTURE DEACON BECOME ME WANT
My mother is a deacon,MOTHER MINE DEACON
Our deacon is sick,DEACON OUR SICK
The deacon will pray today,TODAY DEACON PRAY
Who is dead,DEAD WHO
The dead man will be buried today,TODAY MAN DIE BURRY
I fear the dead,PEOPLE DEAD ME FEAR
Why is she dead,GIRL THAT DIE WHY
The Deaf use sign language,SIGL LANGUAGE DEAF USE
I am a teacher of the Deaf,DEAF ME TEACH
I love the Deaf,DEAF ME LOVE
The Deaf love Olympics,OLYMPICS DEAF LOVE
The deafblind suffer a lot,DEAFBLIND SUFFER SUFFER
How do the deafblind communicate,DEAFBLIND COMMUNICATE HOW
Some deafblind can learn,DEAFBLIND SOME LEARN CAN
The deafblind miss out on information ,INFORMATION DEAFBLIND MISS
How can the deafblind be helped,DEAFBLIND HELP HOW
Death is cruel ,DEATH CRUEL TRUE
I hate death,DEATH ME HATE
When will death end,DEATH END WHEN
I fear death,DEATH ME FEAR
The students are having a debate now,NOW DEBATE STUDENT HAVE
That debate is interesting,DEBATE THAT INTERESTING
I love to debate,DEBATE ME LOVE
Find a rich topic for that debate,DEBATE THAT TOPIC RICH FIND
I have a lot of debts,DEBT A LOT ME HAVE
I want to pay my debt,DEBT MINE PAY WANT
That debt is stressing me a lot,DEBT THAT ME STRESS A LOT
When will I pay all my debts,DEBT MINE ALL PAY WHEN
I need a loan to pay my debt,LOAN ME NEEDDEBT PAY
My tooth has decayed,TOOTH MINE DECAY FINISH
That meat is decaying ,NOW MEAT THAT DECAY
Decaying meat have a bad smell,MEAT DECAY SMELL BAD HEVE
We will go to America this December ,DECEMBER THIS AMERICA ME GO
I love December,DECEMBER ME LOVE
December has a lot of celebrations,CELEBRATION A LOT DECEMBER HAVE
We party in December,DECEMBER US PARTY
My birthday is in December,BIRTHDAY MINE DECEMBER
I hate deception ,DECEIVE ME HATE
He obtained the papers by deception ,PAPER HE GETDECEIVE USE
Many people use deception to obtain jobs ,PEOPLE MANY DECEIVE USE JOB GET
We have decided not to invite mary,MARY INVITE NOTHING US DECIDE FINISH
We will decide better tomorrow ,TOMORROW BETTER US DISCUSS
I cant decide on which one to pick,PICK WHICH ME DECIDE NOTHING
They decided a name for the baby ,BABY NAME THEM DECIDE FINISH
The date hasn’t been decided yet ,DATE DECIDE BADO
Please tell us your decision ,DECISION YOUR TELL PLEASE
I love your decision,DECISION YOUR ME LOVE
Your decision is correct,DECISION YOUR CORRECT
You must declare your wealth,WEALTH DECLARE MUST
My neighbor has declared war ,NEIGHBOUR MINE WAR DECLARE FINISH
When will you declare your choice,CHOISE YOUR DECLARE WHEN
You must declare all your income,INCOME ALL DECLARE MUST
Who will declare Joe the winner,JOE WIN DECLARE WHO
That body is decomposed,BODY THAT DECOMPOSE FINISH
We need to decompose more manure ,MANURE MORE DECOMPOSE US NEED
The leaves must decompose ,LEAVE LEAVE DECOMPOSE MUST
We will decorate the room,FUTURE ROOM THAT US DECORATE
I know how to decorate a room,ROOM DECORATE HOW ME KNOW
Please decorate that pot again,POT THAT AGAIN DECORATE PLEASE
I need more people to decorate the hall,HALL DECORATE PEOPLE MORE ME NEED
That is a nice decoration ,DECORATION THAT NICE
Where will you do the decoration,DECORATION YOU DO WHERE
That is a poor decoration,DECORATION THAT POOR
The room has no decoration,ROOM THAT DECORATION NOTHING
Bring more decoration,DECORATION MORE BRING
The house is in need of decoration,HOUSE THAT DECORATION NEED
There is a decrease in the number of students,STUDENT NUMBER DECREASE FINISH
Why is there a decrease,DECREASE THERE WHY
What has caused the decrease,DECREASE CAUSE WHAT
We must stop the decrease,DECREASE US STOP MUST
The damage will be deducted from the pay,PAY THAT DAMAGE DEDUCT
What percentage will you deduct,PERCENTAGE WHAT YOU DEDUCT
Please don’t deduct any amount,AMOUNT ANY DEDUCT NOTHING PLEASE
That hole is deep,HOLE THAT DEEP
How deep is the ocean,OCEAN DEEP HOW
I hate deep holes,HOLE HOLE DEEP ME HATE
My well isn’t deep enough,WELL MINE DEEP ENOUGH NOTHING
Have you seen a deer,DEER SEE FINISH
That is a beautiful deer,DEER THAT BEAUTIFUL
Take a picture of that deer,DEER THAT PICTURE TAKE
Chase that deer,DEER THAT CHASE
Who will defeat us now,NOW US DEFEAT WHO
I fear defeat,DEFEAT ME FEAR
We must defeat that team ,TEAM THAT US DEFEAT MUST
We will not accept defeat ,DEFEAT ME ACCEPT NOTHING
Who will defend the poor,OOR DEFEND WHO
We must defend the children,CHILDREN US DEFEND MUST
That lawyer must defend the group,GROUP THATLAWYER THAT DEFEND MUST
The baby has vitamin deficiency ,DEFICIENCY VITAMIN BABY THAT HAVE
Our project has financial deficiency,FINANCIAL DEFICIENCY PROJECT OUR HAVE
There is water deficiency in our home,HOME OUR WATER DEFICIENCY HAVE
We are having budget deficit ,BUDGET DEFICIT US HAVE
Why do you degrade women,WOMEN YOU DEGRADE WHY
Many rich people degrade the poor,PEOPLE POOR PEOPLE RICH MANY DEGRADE
How can you degrade him,BOY THAT YOU DEGRADE HOW
The salary will delay this month,MONTH THIS SALARY DELAY
The goods will delay this month ,MONTH THIS GOODS DELAY
He is a delegate at the conference,CONFERENCE THERE HE DELEGATE
The delegate has some nice ideas,IDEA NICE DELEGATE HAVE
The delegate will travel today,TODAY DELEGATE TRAVEL
Delete that file,FILE THAT DELETE
I will delete my work,WORK MINE ME DELETE
Delete that video please,VIDEO THAT DELETE PLEASE
Who will delete the information,INFORMATION DELETE WHO
Your food is delicious,FOOD YOUR DELICIOUS
I love delicious meat,MEAT DELICIOUS ME LOVE
My mother cooks delicious food,FOOD DELICIOUS MOTHER MINE COOK
Is this food delicious,FOOD THIS DELICIOUS
We will deliver on our promises,PROMISE OUR DELIVER MUST
The company will deliver the goods,GOOD COMPANY DELIVER
I need a person to deliver this letter,LETTER THIS DELIVER PERSON ME NEED
Who will deliver the message,MESSAGE DELIVER WHO
She is demanding an explanation ,EXPLANANTION GIRL THAT DEMAND
We must demand for changes in the law,LAW THERE CHANGE DEMAND MUST
There is no demand for that product,PRODUCT THAT DEMAND ZERO
I demand to see the manager ,MANAGER SEE ME DEMAND
I demand an apology ,APOLOGY ME DEMAND
Many insect sting,INSECT MANY STING
Bee always sting,BEE STING ALWAYS
Mosquito sting cause malaria,MOSQUITO STING MALARIA CAUSE
Did that insect sting you,INSECT YOU STING
Is he stingy,HE STINGY
Some stingy people are fair,PEOPLE SOME STINGY FAIR TRUE
Our village chief are stingy,VILLAGE OUR CHIEF STINGY
I am not stingy,ME STINGY ZERO
The student stir the solution,STUDENT SOLUTION STIR
To cook porridge you must stir,PORRIGE COOKYOU 
He stir tea clockwise,TEA HE STIR CLOCKWISE
Stir must involve liquid,LIQUID STIR INVOLVE MUST
My mother has stitches after CS,MOTHER MINE STITCHES HSVE TIME CS FINISH
That athlete has no stitches,ATHLETE THAT STITCHES HAVE ZERO
The nurse help to stitch the wound,NURSE WOUND STITCH HELP
The tailor stitch my dresses,DRESS MINE MANY TAILOR STITCH
There is no new stock,STOCK NEW THERE NOTHIU
His stock come from Nairobi,STOCK HIS FROM NAIROBI
I need a new stock,STOCK NEW ME NEED
Last stock was very expensive,STOCK LAST EXPENSIVE
I have  a red stocking,STOCKING RED ME HAVE
Many girls love stocking,GIRL MANY STOCKING LOVE
Stocking are very cheap,STOCKING CHEAP
Stocking can be good for cold season,STOCKING GOOD TIME SESON COLD
Some stomachache hurt,STOMACHACHE SOME HURT
Stomachache might be ulcers,STOMACHACHE POSSIBLE ULCERS
I have stomachache,ME STOMACHACHE HAVE
The ground is stoney,GROUND STONEY
These walls are stoney,WALL MANEY STONEY
Our lecturer has a stoney attitude,LECTURER OUR ATITUDE STONEY
We have a traditional stool,STOOL TRADITION WE HAVE
Our home has a store,HOME OUR STOTR HAVE
The store is full,STORE FULL
We need to build a new store,STORE NEW WE BUILD NEED
My neighbor store is beautiful,NEIGHBOUR MINE STORE BEAUTIFUL
Our storekeeper is a kamba,STORE KEEPER OUR KAMBA
I need hardworking storekeeper,STOREKEEPER HARDWORKING ME NEED
The previous store keeper retired,STOREKEEPER PREVIOUS RETIRE FINISH
A good storekeeper is a kikuyu,STOREKEEPER GOOD KIKUYU
Some storekeeper  always steal,STOREKEEPER SOME STEAL ALWAYS
That is a storey building,BUILDIN THAT STOREY
Kenya has few storey building,KENYA STOREY BUILDING FEW HAVE
He build a storey building,HE STOREY BUILDING BUILD
Our home is a storey building,HOME OUR BUILDING STOREY
Jesus calm the storm,JESUS STORM CALM
We have no stove,STOVE WE HAVE ZERO
They cook using a stove,THEY COOL TIME STOCK USE
Traditional stove use kerosene,STOVE TRADITIONAL KERSENE USE
Most shop do not sell stove,SHOP MANY STOVE SELL NOTHING
Always draw a straight line,LINE STRAIGHT DRAW ALWAYS
My baby stand straight,BABY MINE STRAIGHT STAND
I am a straight girl,ME GIRL STRAIGHT
Ruler help to draw straight line,RULER HELP LINE STRAIGHT DRAW
Strange things are happening in the world,WORLD THING STRANGE HAPPEN
He fall into the a stream,HE STREAM FALL
The porridge produce hot stream,PORRIDGE STREAM HOT PRODUCE
Hot  stream can burn,STREAM HOT BURN POSSIBLE
This street is not safe,STREET THIS SAFE NOTHING
We live in the next street,STREET NEXT WE LIVE
Most street are clean in Kisumu,KISUMUSTREET MANY CLEAN
Many Kenyans have stress,KENYAN MANY STRESS HAVE
Stress is not good,STREET GOOD NOTHING
Stress have killed many people,STRSS PEOPLE MANY KILL FINISH
My father is very strict,FATHER MINE STRICT
He took a long stride,STRIDE LONG HE TAKE FINISH
Stride make haste,STRIDE HASTE MAKE
I made many stride back home,STRIDE MANY ME MAKE HOME THERE
I  need a long string,STRING LONG ME NEED
This dress have many strips,DRESSS THIS STRIP MANY HAVE
The thieve trip him,THIEF MANY HE STRIP
My sister strip the bed,SISTER MINE BED STRIP
I strive to beat deadline,DEADLINE STRIVE BEAT
All students must strive to work hard,STUDENT ALL WORK HARD STRIVE MUST
A good  father strive to provide,FATHER GOOD PROVIDE STRIVE
He died of stroke,HE DIE FINISH WHYSTROKE
Many stroke are not good,STROKE MANY GOOD NOTHING
The headmaster gave him ten stroke,HEADMASTER STROKE TEN HIM GIVE
There stroll is long,STROLL THERE LONG
When angry  take a stroll,TIME ANGRY STROLL TAKE
I love taking a stroll,STROLL TAKE ME LOVE
The structure is big,STRUCTURE BIG
Some structure are very neat,STRUCTURE SOME NEAT
I love the structure of this school,SCHOOL STRUCTURE THIS ME LOVE
The struggle is real,STRUGGLE REAL
Some people struggle a lot,PEOPLE SOME A LOT STRUGGLE
To win you must struggle,TIME WINSTRUGGLE MUST
He has a bad stuff,HE STUFF BAD HAVE
I shifted my stuff to the village,VILLAGESTUFF MINE ME SHIFT FISH
We have many stuff,STUFF MANY WE HAVE
Their stuff are beautiful,STUFF THEIR BEAUTIFUL
Stubborn children are annoying,CHILD CHILD STUBBORN ANNOY TRUE
Being stubborn is bad,STUBBORN BECOME BAD
We learn many topics,TOPIC MANY WE LEARN
Some topics are not necessary,TOPIC SOME NECESSARY NOTHING
How many topics are remaining,TOPIC REMAIN HOW MANY
I learn ten subject,SUBJECT TEN LOVE
Each subject is important,SUBJECT EACH IMPORTANT
The stone submerge in water,STONE WATER SUBMERGE
The powder submerge in the water,POWDER WATER SUMERGE
Titanic submerge in the ocean,TITANIC OCEAN SUBMERGE
To subtract is to remove,ABSTRACT REMOVE MEAN
She know how to subtract,GIRL THAT ABSTRACT KNOW WE
Some people suck,PEOPLE SOME SUCK
Arrogant people suck a lot,PEOPLE ARROGANT SUCK A LOT
Sudan is a country,SUDAN COUNTRY
People from Sudan are dark,PERSON MANY SUDAN DARK
He had a sudden change in behavior,BEHAVIOUR CHANGE SUDDEN HE HAVE
Sudden changes are not good,CHANGE MANY SUDDEN GOOD NOTHING
Do not suffocate the baby,BABY SUFFOCATE ZERO
 The employer suffocate us a lot,EMPLYER US SUFFOCATE A LOT
Some sufuria are hard to wash,SUFURIA SOME HARD TIIME WAH
We have many sufuria,SUFURIA MANY WE HAVE
Sufuria is made of iron,SUFURIA MAKE FINISHIRON 
Sufuria is used to cook,SUFURIA USE TIME COOK
They grow sugarcane is Muhoroni,MUHORONI SUGARCANE THEY GROW
Sugarcane is sweet,SUGARCANE SWEET
I suggest we go home,ME SUGGEST WE HOME GO
The manager love to suggest,MANAGER SUGGEST LOVE
Some suicide are painful,SUICIDE SOME PAINFULL
He died of suicide,HE DIE FINISH WHYSUICIDE
This suit is expensive,SUIT THIS EXPENSIVE
I love black suit,SUIT BLACK ME LOVE
Ruto always wear Kaunda,KAUNDA SUIT RUTO WEAR ALWAYS
She grow sukuma wiki,SHE SUKUMA WIKI GROW
Sukuma wiki is a vegetable,SUKUMA WIKI VEGETABLE
Good sukuma wiki is green,SUKUMA WIKI GOOD GREEN
Do you love sukuma wiki,SUKUMA WIKI YOU LOVE
My father sulk at me,FATHER MINE ME SULK
People who sulk are disappointed,PEOPLE SULK DISSAPOINT FINISH
The children sulk angrily,CHILD CHIL SULK TIME ANGRY
August has a summer,
Summer season is best in Mombasa,SEASON SUMMER BEST MOMBASA
Do you love summer,YOU SUMMER LOVE
The sunshine is bright,SUNSHINE BRIGHT
I love sunrise,ME LOVE SUNRISE
It is beautiful watch sunrise,SUNRISE WATCH BEAUTIFUL
I cant wait the next sunrise,SUNRISE NEXT ME WAIT IMPOSSIBLE
Supermarket are usually big,SUPERMARKET BIG ALWAYS
I  don’t love supermarket,SUPERMARKET ME LOVE ZERO
My neighbour work at the supermarket,NEIGHBOUR OUR SUPERMARKET WORK
I always supervise national exam,NATIONAL EXAM ME SUPERVISE ALWAYS
To supervise is to observe,SUPERVISE SAME OBSERVE
My father supervise the workers,FATHER MINE WORKER MANY SUPERVISE
He is a harsh supervisor,HESUPERVISOR HARSH
Male supervisors are the best,SUPERVISOR MANY MALE BEST
Our chef cooked a nice supper,SUPPER NICE CHEF OUR COOK
The supper burnt,SUPPER BURN FINISH
The supply of sugar is high ,SUPPLY SUGAR HIGH
I want to supply sardines to them,ME THEM SARDINE SUPPLY
The supply of oxygen was scarce,SUPPLY OXYGEN SCARCE
Are you sure about it,ABOUT ITYOU SURE
The family is still not very sure,FAMILY SURE NOTHING
I am sure I saw the thieves,ME SURE THIEF MANY SEE FINISH
Indian surgeon are skilled,SURGEON INDIAN SKILL HAVE FINISH
Every surgeon is educated,SURGEON EACH EDUCATE FINISH
All surgeon must wear protective clothes,SURGEON ALL CLOTHE PROTECTIVE WEAR MUST
The surgery was successful,SURGERY SUCCSFUL
She died after surgery,SHE DIE  TIME SURGERY FINISH
We have food surplus,FOOD SURPLUS WE HAVE
Cash surplus are the best,CAH SURPLUS BEST
Sweets destroy the teeth,SWEET MANY TEETH DESTROY
I love sweets, SWEET MANY ME LOVE
The switch is broken,SWITCH BREAK FINISH
Lets switch places,PLACE PLACE WE SWITCH
That switch is very expensive,SWITCH THIS EXPENSIVE
Synagogue is like a church,SYNAGOGUE SAME CHURCH
Jesus preach in Synagogue,JESUS SYNAGOGUE THERE PREACH
Synagogue was used in the past,PAST SYNAGOGUE USE
I will teach him how to swim,FUTUREME HIM TEACHSWIM HOW
The duck swim in water,DUCK WATER IN SWIM
This syllabus is hard,SYLLABUS THIS HARD
Previous syllabus was better,PAST SYLLABUS BETTER
This system is corrupt,SYSTEM THIS CORRUPT
Kenya system is not fair,SYSTEM KENYA FAIR NOTHING
CBC  system is rubbish,SYSTEM CBC RUBBISH
The tablet is very big,TABLET BIG
Most tablet are very expensive,TABLET MANY EXPENSIVE
He take many tablets,TABLETS MANY HE TAKE
Chicken has no tail,CHICKEN TAIL HAVE ZERO
The children cut the rat tail,CHILD CHILDRAT TAIL CUT
Table cloth are cheap,TABLECLOTH MANY CHEAP
This chef love white table clothe,CHEF THIS TABLECLOTH WHITE LOVE
Africans do not use table clothe,AFRICAN MANY TABLECLOTH USE NOTHING
Syrup are not good,SYRUP GOOD NOTHING
Syrup is a medicine,SYRUP MEDICINE
Syrup is used for cough,SYRUP USE TIME COUGH
We have many syringe,SYRINGE MANY WE HAVE
Please do not share syringe,PLEASE SYRINGE SHARE NOTHING
My aunt is a good tailor,AUNT MINE TAILOR GOOD
Use your talent well,TALENT YOUR WELL WELL USE
We all have talent,WE ALL TALENT HAVE
Talent are gift from God,TALENT GOD GIFT
His stomach swell,STOMACH HIS SWELL
Most swells are painful,SWELL MANY PAINFUL
My wound swells a lot,WOUND MINE A LOT SWELL
His tactics work so well,TACTICS HIS WELL WORK
Not all tactics are good,TACTIC ALL GOOD NOTHING
I hate this kind of tactics,TACTIC SAME THIS ME HATE
I hate a surprise,ME HATE SURPRISE
I have a surprise for you,
I bought a new sweater,SWEATER NEW ME BUY FINISH
My grandmother knit a sweater,GRANDMOTHER MINE SWEATER KNIT
Good sweaters are heavy,SWEATER MANY GOOD HEAVY
I will visit Sweden,FUTURE ME SWEDEN VISIT
Sweden is a country,SWEDEN SAME COUNTRY
Are you a citizen of Sweden,YOU CITIZEN SWEDEN
Sweden is in which continent,SWEDEN THERE CONTINENT WHICH
I swallow the pill,ME PILL SWALLOW
The shark swallow Jonah,SHARK JONAR SWALLOW
My baby sister sweep the compound,BABY SISTER MINE COMPOUND SWEEP
To sweep is to clean,SWEEP SAME CLEAN
Our nanny hate to sweep here,NANNY OUR HERE SWEEP HATE
Sweet potato is healthy,SWEETPOTATOE HEALTHY
We have white and yellow sweet potato,SWEETPOTATOE YELLOW SAME WHITE HAVE
I love sweet potato,ME SWEETPOTATOE LOVE
She sweat a lot,SHEA LOT SWEAT
It is normal to sweat,NORMAL SWEAT
We must survive,WE SURVIVE MUST
The family strive to survive,FAMILY SURVIVE STRIVE
This swamp is deep,SWAMP THIS DEEP
The swamp is shallow,SWAMP SHALLOW
Our village has swamp,VILLAGE OUR SWAMP HAVE
Please use a tablespoon,PLEASETABLESPOON USE
Do you have a table spoon,YOU TABLESPOON HAVE
The chef brought many tablespoon,CHEF TABLESPOON MANY BRING
I want to learn tailoring,ME WANT TAILORING LEARN
Tailoring require skill,TAILORING SKILL REQUIRE
Tailoring is expensive,TAILORING EXPENSIVE
Syphilis is a disease,SYPHILIS DISEASE
Syphilis has medicine,SYPHILIS MEDICINE HAVE
He always treat syphilis,HE SYPHILIS TREAT ALWAYS
The doctor diagonise me with syphilis,DOCTOR ME SYPHILIS DIAGONISE
The supremacy of America is over,SUPREMACY AMERICA OVER
I love their supremacy,SUPREMACY THEIR ME LOVE
She should not suppress the panic,SHE PANIC SUPPRESS ZERO
The secret has been suppress,SECRETSUPPRESS FINISH
She suppress me,SHEME SUPPRESS
These drugs suppress immune system,DRUG DRUG THESE IMMUNE SYTEM SUPPRESS
Our supervision ended,SUPERVISION OURS END FINISH
They were served cold food,FOOD COLD THEY SERVE FINISH
The building began to collapse,BUILDING COLLAPSE START FINISH
He will collapse tomorrow,TOMMORROW POSSIBLE HE COLLAPSE
Look at that collar,COLLAR THAT LOOK
The shirt has no collar,SHIRT COLLAR HAVE NOTHING
There is dirt on the collar ,COLLAR THERE DIRT HAVE
Collect your books,BOOK BOOK YOUR COLLECT
He has a collection of shoes,SHOE SHOE COLLECTION SHE HAVE
The collection of taxes is not good,TAX COLLECTION GOOD NOTHING
The church will have a collection of offering,POSSIBLE COLLECTION OFFERING CHURCH HAVE
How is the collection,COLLECTION HOW…
Meet me at Pendo collection,COLLECTION PENDO ME MEET
He studies in a college,COLLEGE HE STUDYTRUE
That bus will collide with the lorry,POSSIBLE BUS THAT LORRY COLLIDE
I will collide with you,POSSIBLE ME YOU COLLIDE
Did they collide,COLLIDE THEMTRUE…
Ours cars can collide,POSSIBLE CARS OUR COLLIDE
They will collide,POSSIBLE THEY COLLIDE
Our cars can collide and cause an accident,POSSIBLE CAR OUR COLLIDE ACCIDENT CAUSE
Collide with me and I cause an accident,ME COLLIDEACCIDENT POSSIBLE CAUSE
Write in this collumn,COLUMN THIS WRITE
This column has a problem,COLUMN THIS PROBLEM HAVE
The column has all words,WORDS ALL COLUMN HAVE
This column is blue,COLUMN THID BLURTRUE
That column is long,COLUMN THAT LONGTRUE
British will colonize kenya,POSSIBLE KENYA BRITISH COLONIZE FINISH
I will colonize you,POSSIBLE YOU ME COLONIZE
I can colonize the,POSSIBLE THEM ME COLONIZE
China will colonize them,POSSIBLE THEM CHINA COLONIZE
Did germany colonize Tanzania,TANZANIA GERMANY COLONIZETRUE…
I love colour white,WHITE COLOR ME LOVE
That color is bright,COLOR THAT BRIGHTTRUE
Color your world,WORLD YOURS COLOR
Men are color blind,BLIND COLOR MENTRUE
She is also color blind,COLOR BLIND SHE SAMETRUE
That is my color blind friend,FRIEND MINE THAT COLOR BLIND
He has a color blind nature,NATURE COLOR BLIND SHE HAVE
All are color blind,COLOR BLIND ALLTRUE
The color will paint the wall,POSSIBLE WALL COLOR PAINT
They will use color paint,POSSIBLE PAINT COLOR THEY USE
Color paint is enough,COLOR PAINT ENOUGHTRUE
The color paint was blur,COLOR PAINT BLURTRUE
That color paint is clear,COLOR PAINT THAT CLEARTRUE
Use the color pencil ,COLOR PENCIL USE
Take the color pencil,COLOR PENCIL TAKE
That color pencil is mine,COLOR PENCIL THAT MINETRUE
She has my color pencil,COLOR PENCIL MINE SHE HAVE
He will take the color pencil,POSSIBLE COLOR PENCIL SHE TAKE
Is comanagement good,COMANAGEMENT GOODTRUE…
The company is doing comanagement,COMPANY COMANAGEMENT DO ALWAYS
Comanagement worked,COMANAGEMENT WORK FINISH
Comanagement is difficult,COMANAGEMENT DIFFICULT TRUE
Comanagemnt can be dangerous,POSSIBLE COMANAGEMENT DANGEROUS BECOME
Comb your hair,HAIR YOUR COMB
She has a comb,COMB SHE HAVE
That comb is mine,COMB THAT MINE TRUE
He ate a combination of meat and cabbage,MEAT CABBAGE COMBINATION SHE EAT FINISH
I love that combination,COMBINATION THAT ME LOVE
Their combination is  not good,COMBINATION THIR GOODTRUE
Take a combination of two,COMBINATION TWO TAKE
That combination was effective,COMBINATION THAT EFFECTIVE TRUE
I will combine the two,POSSIBLE TWO ME COMBINE
Combine tea and cocoa,COCOA TEA COMBINE
combine them all,ALL COMBINE
The teacher will combine the two classess,POSSIBLE CLASSES TWO TEACHER COMBINE
I will comfort you,POSSIBLE ME YOU COMFORT
He lives at the comfort of his house,HOUSE HIS HE COMFORT LIVE
My comfort is important,COMFORT MINE IMPORTANTTRUE
They will comfort her,POSSIBLE HER THEY COMFORT
Put a comma there,COMMA THER PUT
Remove that comma,COMMA THAT REMOVE
He is in a comma,COMMA HE IS IN
A comma is dangerous,COMMA DANGEROUSTRUE
He will command them,POSSIBLE THEM HE COMMAND
